B0001;172 Le Duan;;;;;;;;;;;;;;;;;;;;;;;;
B0002;202 Lê Hồng Phong;;;;;;;;;;;;;;;;;;;;;;;;
B0003;205 Phạm Ngũ Lão;;;;;;;;;;;;;;;;;;;;;;;;
B0004;231-233 Lê Hồng Phong;;;;;;;;;;;;;;;;;;;;;;;;
B0005;43 Nguyen Cu Trinh;;;;;;;;;;;;;;;;;;;;;;;;
B0006;An Nhơn;;;;;;;;;;;;;;;;;;;;;;;;
B0007;An Trạch;;;;;;;;;;;;;;;;;;;;;;;;
B0008;Bà Rịa;;;;;;;;;;;;;;;;;;;;;;;;
B0009;Bạc Liêu;;;;;;;;;;;;;;;;;;;;;;;;
B0010;Bao Loc;;;;;;;;;;;;;;;;;;;;;;;;
B0011;Ben Cat Binh Duong;;;;;;;;;;;;;;;;;;;;;;;;
B0012;Bến Tre;;;;;;;;;;;;;;;;;;;;;;;;
B0013;Bình Minh;;;;;;;;;;;;;;;;;;;;;;;;
B0014;Buôn Ma Thuột;;;;;;;;;;;;;;;;;;;;;;;;
B0015;BX Binh Duong;;;;;;;;;;;;;;;;;;;;;;;;
B0016;BX Đồng Tâm;;;;;;;;;;;;;;;;;;;;;;;;
B0017;BX Miền Đông;;;;;;;;;;;;;;;;;;;;;;;;
B0018;BX Mien Tay;;;;;;;;;;;;;;;;;;;;;;;;
B0019;BX Ngã Bảy;;;;;;;;;;;;;;;;;;;;;;;;
B0020;BX Quy Nhơn;;;;;;;;;;;;;;;;;;;;;;;;
B0021;BXN Huế;;;;;;;;;;;;;;;;;;;;;;;;
B0022;Cái Dầu;;;;;;;;;;;;;;;;;;;;;;;;
B0023;Cái Tắc;;;;;;;;;;;;;;;;;;;;;;;;
B0024;Cam Ranh;;;;;;;;;;;;;;;;;;;;;;;;
B0025;Cần Thơ;;;;;;;;;;;;;;;;;;;;;;;;
B0026;Châu Đốc;;;;;;;;;;;;;;;;;;;;;;;;
B0027;Da Lat;;;;;;;;;;;;;;;;;;;;;;;;
B0028;Đà Lạt;;;;;;;;;;;;;;;;;;;;;;;;
B0029;Da Nang;;;;;;;;;;;;;;;;;;;;;;;;
B0030;Dak Nong;;;;;;;;;;;;;;;;;;;;;;;;
B0031;Di Linh;;;;;;;;;;;;;;;;;;;;;;;;
B0032;Diên Khánh;;;;;;;;;;;;;;;;;;;;;;;;
B0033;Đông Hòa;;;;;;;;;;;;;;;;;;;;;;;;
B0034;Đức Trọng;;;;;;;;;;;;;;;;;;;;;;;;
B0035;Hà Tiên;;;;;;;;;;;;;;;;;;;;;;;;
B0036;Hộ Phòng;;;;;;;;;;;;;;;;;;;;;;;;
B0037;Hòa Bình;;;;;;;;;;;;;;;;;;;;;;;;
B0038;Hồng Ngự;;;;;;;;;;;;;;;;;;;;;;;;
B0039;Lai Vung;;;;;;;;;;;;;;;;;;;;;;;;
