T001;B0006;;;;;;;;;;;;;;;;;;;;;;;
T001;B0115;;;;;;;;;;;;;;;;;;;;;;;
T001;B0049;;;;;;;;;;;;;;;;;;;;;;;
T002;B0006;;;;;;;;;;;;;;;;;;;;;;;
T002;B0115;;;;;;;;;;;;;;;;;;;;;;;
T002;B0049;;;;;;;;;;;;;;;;;;;;;;;
T003;B0006;;;;;;;;;;;;;;;;;;;;;;;
T003;B0115;;;;;;;;;;;;;;;;;;;;;;;
T003;B0049;;;;;;;;;;;;;;;;;;;;;;;
T004;B0114;;;;;;;;;;;;;;;;;;;;;;;
T004;B0019;;;;;;;;;;;;;;;;;;;;;;;
T004;B0023;;;;;;;;;;;;;;;;;;;;;;;
T004;B0059;;;;;;;;;;;;;;;;;;;;;;;
T005;B0010;;;;;;;;;;;;;;;;;;;;;;;
T005;B0092;;;;;;;;;;;;;;;;;;;;;;;
T005;B0094;;;;;;;;;;;;;;;;;;;;;;;
T005;B0096;;;;;;;;;;;;;;;;;;;;;;;
T005;B0031;;;;;;;;;;;;;;;;;;;;;;;
T005;B0117;;;;;;;;;;;;;;;;;;;;;;;
T005;B0024;;;;;;;;;;;;;;;;;;;;;;;
T005;B0032;;;;;;;;;;;;;;;;;;;;;;;
T005;B0051;;;;;;;;;;;;;;;;;;;;;;;
T005;B0020;;;;;;;;;;;;;;;;;;;;;;;
T005;B0054;;;;;;;;;;;;;;;;;;;;;;;
T005;B0029;;;;;;;;;;;;;;;;;;;;;;;
T006;B0010;;;;;;;;;;;;;;;;;;;;;;;
T006;B0092;;;;;;;;;;;;;;;;;;;;;;;
T006;B0094;;;;;;;;;;;;;;;;;;;;;;;
T006;B0096;;;;;;;;;;;;;;;;;;;;;;;
T006;B0031;;;;;;;;;;;;;;;;;;;;;;;
T006;B0117;;;;;;;;;;;;;;;;;;;;;;;
T006;B0024;;;;;;;;;;;;;;;;;;;;;;;
T006;B0032;;;;;;;;;;;;;;;;;;;;;;;
T006;B0051;;;;;;;;;;;;;;;;;;;;;;;
T006;B0020;;;;;;;;;;;;;;;;;;;;;;;
T006;B0054;;;;;;;;;;;;;;;;;;;;;;;
T006;B0029;;;;;;;;;;;;;;;;;;;;;;;
T007;B0010;;;;;;;;;;;;;;;;;;;;;;;
T007;B0092;;;;;;;;;;;;;;;;;;;;;;;
T007;B0094;;;;;;;;;;;;;;;;;;;;;;;
T007;B0096;;;;;;;;;;;;;;;;;;;;;;;
T007;B0031;;;;;;;;;;;;;;;;;;;;;;;
T007;B0117;;;;;;;;;;;;;;;;;;;;;;;
T007;B0024;;;;;;;;;;;;;;;;;;;;;;;
T007;B0032;;;;;;;;;;;;;;;;;;;;;;;
T007;B0051;;;;;;;;;;;;;;;;;;;;;;;
T007;B0020;;;;;;;;;;;;;;;;;;;;;;;
T007;B0054;;;;;;;;;;;;;;;;;;;;;;;
T007;B0029;;;;;;;;;;;;;;;;;;;;;;;
T008;B0012;;;;;;;;;;;;;;;;;;;;;;;
T008;B0103;;;;;;;;;;;;;;;;;;;;;;;
T009;B0060;;;;;;;;;;;;;;;;;;;;;;;
T009;B0049;;;;;;;;;;;;;;;;;;;;;;;
T010;B0087;;;;;;;;;;;;;;;;;;;;;;;
T010;B0049;;;;;;;;;;;;;;;;;;;;;;;
T010;B0067;;;;;;;;;;;;;;;;;;;;;;;
T010;B0059;;;;;;;;;;;;;;;;;;;;;;;
T011;B0087;;;;;;;;;;;;;;;;;;;;;;;
T011;B0049;;;;;;;;;;;;;;;;;;;;;;;
T011;B0067;;;;;;;;;;;;;;;;;;;;;;;
T011;B0059;;;;;;;;;;;;;;;;;;;;;;;
T012;B0015;;;;;;;;;;;;;;;;;;;;;;;
T012;B0017;;;;;;;;;;;;;;;;;;;;;;;
T012;B0095;;;;;;;;;;;;;;;;;;;;;;;
T012;B0086;;;;;;;;;;;;;;;;;;;;;;;
T012;B0049;;;;;;;;;;;;;;;;;;;;;;;
T012;B0067;;;;;;;;;;;;;;;;;;;;;;;
T012;B0059;;;;;;;;;;;;;;;;;;;;;;;
T013;B0015;;;;;;;;;;;;;;;;;;;;;;;
T013;B0118;;;;;;;;;;;;;;;;;;;;;;;
T013;B0049;;;;;;;;;;;;;;;;;;;;;;;
T013;B0067;;;;;;;;;;;;;;;;;;;;;;;
T013;B0059;;;;;;;;;;;;;;;;;;;;;;;
T014;B0015;;;;;;;;;;;;;;;;;;;;;;;
T014;B0049;;;;;;;;;;;;;;;;;;;;;;;
T014;B0067;;;;;;;;;;;;;;;;;;;;;;;
T014;B0059;;;;;;;;;;;;;;;;;;;;;;;
T015;B0015;;;;;;;;;;;;;;;;;;;;;;;
T015;B0049;;;;;;;;;;;;;;;;;;;;;;;
T015;B0067;;;;;;;;;;;;;;;;;;;;;;;
T015;B0059;;;;;;;;;;;;;;;;;;;;;;;
T016;B0001;;;;;;;;;;;;;;;;;;;;;;;
T016;B0097;;;;;;;;;;;;;;;;;;;;;;;
T016;B0030;;;;;;;;;;;;;;;;;;;;;;;
T017;B0001;;;;;;;;;;;;;;;;;;;;;;;
T017;B0097;;;;;;;;;;;;;;;;;;;;;;;
T017;B0030;;;;;;;;;;;;;;;;;;;;;;;
T018;B0001;;;;;;;;;;;;;;;;;;;;;;;
T018;B0097;;;;;;;;;;;;;;;;;;;;;;;
T018;B0030;;;;;;;;;;;;;;;;;;;;;;;
T019;B0018;;;;;;;;;;;;;;;;;;;;;;;
T019;B0003;;;;;;;;;;;;;;;;;;;;;;;
T019;B0116;;;;;;;;;;;;;;;;;;;;;;;
T019;B0099;;;;;;;;;;;;;;;;;;;;;;;
T019;B0084;;;;;;;;;;;;;;;;;;;;;;;
T019;B0005;;;;;;;;;;;;;;;;;;;;;;;
T019;B0090;;;;;;;;;;;;;;;;;;;;;;;
T019;B0119;;;;;;;;;;;;;;;;;;;;;;;
T019;B0081;;;;;;;;;;;;;;;;;;;;;;;
T019;B0002;;;;;;;;;;;;;;;;;;;;;;;
T019;B0004;;;;;;;;;;;;;;;;;;;;;;;
T019;B0017;;;;;;;;;;;;;;;;;;;;;;;
T019;B0095;;;;;;;;;;;;;;;;;;;;;;;
T019;B0085;;;;;;;;;;;;;;;;;;;;;;;
T019;B0086;;;;;;;;;;;;;;;;;;;;;;;
T019;B0115;;;;;;;;;;;;;;;;;;;;;;;
T019;B0049;;;;;;;;;;;;;;;;;;;;;;;
T019;B0082;;;;;;;;;;;;;;;;;;;;;;;
T020;B0018;;;;;;;;;;;;;;;;;;;;;;;
