T164;600000;627;10 giờ 7 phút
T165;250000;272;6 giờ
T166;250000;75;2 giờ
T167;300000;354;8 giờ
T168;300000;330;9 giờ 30 phút
T169;400000;435;9 giờ
T170;300000;303;8 giờ
T171;300000;350;9 giờ
T172;250000;167;4 giờ 30 phút
T173;250000;145;3 giờ
T174;250000;240;6 giờ 15 phút
T175;300000;310;8 giờ
T176;300000;310;8 giờ
T177;300000;310;8 giờ
T178;600000;980;20 giờ
T179;250000;230;6 giờ
T180;500000;515;12 giờ
T181;300000;316;8 giờ
T182;250000;271;5 giờ 21 phút
T183;250000;178;5 giờ
T184;600000;943;25 giờ
T185;250000;186;5 giờ
T186;250000;207;5 giờ 30 phút
T187;300000;357;7 giờ 18 phút
T188;400000;427;9 giờ
T189;400000;426;9 giờ
T190;400000;462;12 giờ
T191;250000;200;6 giờ
T192;250000;203;6 giờ
T193;600000;757;18 giờ
T194;500000;585;14 giờ
T195;250000;202;6 giờ 15 phút
T196;250000;142;4 giờ 30 phút
T197;250000;223;6 giờ 30 phút
T198;600000;750;12 giờ
T199;600000;720;12 giờ 30 phút
T200;250000;205;5 giờ 30 phút
T201;250000;252;5 giờ 13 phút
T202;250000;133;4 giờ 30 phút
T203;250000;232;5 giờ 59 phút
T204;500000;535;12 giờ
T205;250000;209;5 giờ
T206;250000;94;4 giờ
T207;250000;161;3 giờ 16 phút
T208;250000;130;4 giờ 30 phút
T209;250000;232;5 giờ 59 phút
T210;500000;506;13 giờ
T211;500000;535;13 giờ
T212;250000;209;5 giờ
T213;250000;247;5 giờ 51 phút
T214;250000;283;5 giờ 23 phút
T215;300000;311;8 giờ
T216;400000;451;9 giờ 9 phút
T217;300000;318;7 giờ 30 phút
T218;250000;105;3 giờ 44 phút
T219;250000;95;3 giờ
